DATE,RMIDVLTR
2017-04-10,3536.16
2017-04-11,3541.57
2017-04-12,3514.16
2017-04-13,3483.21
2017-04-14,.
2017-04-17,3519.56
2017-04-18,3510.09
2017-04-19,3504.15
2017-04-20,3532.76
2017-04-21,3523.34
2017-04-24,3556.51
2017-04-25,3576.24
2017-04-26,3571.77
2017-04-27,3566.76
2017-04-28,3538.94
2017-05-01,3540.67
2017-05-02,3540.66
2017-05-03,3524.10
2017-05-04,3508.47
2017-05-05,3538.76
2017-05-08,3531.60
2017-05-09,3523.35
2017-05-10,3541.78
2017-05-11,3521.70
2017-05-12,3505.13
2017-05-15,3530.68
2017-05-16,3520.69
2017-05-17,3463.91
2017-05-18,3469.79
2017-05-19,3502.22
2017-05-22,3519.28
2017-05-23,3527.81
2017-05-24,3533.70
2017-05-25,3539.65
2017-05-26,3536.85
2017-05-29,.
2017-05-30,3525.48
2017-05-31,3527.99
2017-06-01,3568.68
2017-06-02,3567.43
2017-06-05,3553.41
2017-06-06,3546.15
2017-06-07,3545.12
2017-06-08,3554.45
2017-06-09,3575.68
2017-06-12,3582.34
2017-06-13,3606.03
2017-06-14,3590.60
2017-06-15,3580.91
2017-06-16,3587.20
2017-06-19,3604.47
2017-06-20,3572.82
2017-06-21,3552.22
2017-06-22,3551.28
2017-06-23,3562.74
2017-06-26,3581.97
2017-06-27,3561.35
2017-06-28,3590.26
2017-06-29,3572.41
2017-06-30,3580.51
2017-07-03,3608.43
2017-07-04,.
2017-07-05,3588.48
2017-07-06,3544.29
2017-07-07,3564.85
2017-07-10,3559.99
2017-07-11,3558.91
2017-07-12,3582.69
2017-07-13,3595.76
2017-07-14,3611.17
2017-07-17,3623.05
2017-07-18,3610.45
2017-07-19,3637.94
2017-07-20,3630.95
2017-07-21,3632.99
2017-07-24,3629.00
2017-07-25,3651.24
2017-07-26,3638.49
2017-07-27,3633.79
2017-07-28,3625.97
2017-07-31,3627.97
2017-08-01,3631.78
2017-08-02,3618.15
2017-08-03,3606.38
2017-08-04,3613.33
2017-08-07,3611.06
2017-08-08,3604.15
2017-08-09,3587.58
2017-08-10,3540.10
2017-08-11,3535.96
2017-08-14,3567.32
2017-08-15,3556.59
2017-08-16,3564.74
2017-08-17,3509.83
2017-08-18,3502.30
2017-08-21,3506.80
2017-08-22,3531.41
2017-08-23,3531.97
2017-08-24,3528.39
2017-08-25,3543.98
2017-08-28,3535.34
2017-08-29,3526.15
2017-08-30,3538.84
2017-08-31,3560.18
2017-09-01,3578.10
2017-09-04,.
2017-09-05,3542.80
2017-09-06,3551.02
2017-09-07,3540.16
2017-09-08,3548.24
2017-09-11,3590.06
2017-09-12,3603.82
2017-09-13,3603.74
2017-09-14,3603.61
2017-09-15,3613.39
2017-09-18,3618.79
2017-09-19,3611.95
2017-09-20,3617.93
2017-09-21,3610.15
2017-09-22,3612.23
2017-09-25,3627.50
2017-09-26,3632.06
2017-09-27,3640.65
2017-09-28,3647.25
2017-09-29,3657.27
2017-10-02,3673.11
2017-10-03,3679.40
2017-10-04,3689.64
2017-10-05,3702.24
2017-10-06,3690.22
2017-10-09,3679.42
2017-10-10,3689.80
2017-10-11,3690.36
2017-10-12,3691.95
2017-10-13,3693.16
2017-10-16,3693.83
2017-10-17,3689.24
2017-10-18,3691.40
2017-10-19,3694.33
2017-10-20,3716.38
2017-10-23,3698.71
2017-10-24,3701.55
2017-10-25,3675.39
2017-10-26,3683.38
2017-10-27,3694.32
2017-10-30,3678.31
2017-10-31,3686.70
2017-11-01,3689.79
2017-11-02,3686.56
2017-11-03,3692.68
2017-11-06,3712.13
2017-11-07,3699.82
2017-11-08,3702.27
2017-11-09,3695.19
2017-11-10,3691.41
2017-11-13,3701.42
2017-11-14,3699.68
2017-11-15,3681.89
2017-11-16,3703.02
2017-11-17,3712.18
2017-11-20,3716.48
2017-11-21,3729.56
2017-11-22,3731.60
2017-11-23,.
2017-11-24,3732.71
2017-11-27,3725.01
2017-11-28,3764.13
2017-11-29,3791.17
2017-11-30,3811.42
2017-12-01,3812.42
2017-12-04,3826.02
2017-12-05,3788.98
2017-12-06,3776.79
2017-12-07,3798.00
2017-12-08,3822.50
2017-12-11,3824.81
2017-12-12,3818.67
2017-12-13,3811.00
2017-12-14,3787.16
2017-12-15,3819.62
2017-12-18,3853.56
2017-12-19,3832.09
2017-12-20,3832.78
2017-12-21,3846.99
2017-12-22,3854.25
2017-12-25,.
2017-12-26,3862.14
2017-12-27,3859.67
2017-12-28,3875.40
2017-12-29,3858.52
2018-01-01,.
2018-01-02,3881.15
2018-01-03,3892.21
2018-01-04,3894.57
2018-01-05,3905.81
2018-01-08,3917.06
2018-01-09,3910.22
2018-01-10,3901.46
2018-01-11,3942.30
2018-01-12,3959.35
2018-01-15,.
2018-01-16,3927.19
2018-01-17,3956.53
2018-01-18,3934.36
2018-01-19,3962.19
2018-01-22,3994.12
2018-01-23,4008.70
2018-01-24,4001.88
2018-01-25,3995.40
2018-01-26,4020.64
2018-01-29,3984.96
2018-01-30,3943.94
2018-01-31,3947.15
2018-02-01,3938.64
2018-02-02,3862.06
2018-02-05,3728.21
2018-02-06,3763.55
2018-02-07,3754.80
2018-02-08,3635.54
2018-02-09,3679.25
2018-02-12,3719.16
